"Plot Title: Baro_2022-09-14"
"#","Date Time, GMT-04:00","Abs Pres, psi (LGR S/N: 20175475, SEN S/N: 20175475)","Temp, °F (LGR S/N: 20175475, SEN S/N: 20175475)","Coupler Detached (LGR S/N: 20175475)","Coupler Attached (LGR S/N: 20175475)","Host Connected (LGR S/N: 20175475)","Stopped (LGR S/N: 20175475)","End Of File (LGR S/N: 20175475)"
97,09/14/22 11:16:00 AM,14.7315,81.442,,,,,
98,09/14/22 11:16:10 AM,14.7300,81.442,,,,,
99,09/14/22 11:16:20 AM,14.7300,81.442,,,,,
100,09/14/22 11:16:30 AM,14.7286,81.442,,,,,
101,09/14/22 11:16:40 AM,14.7300,81.442,,,,,
102,09/14/22 11:16:50 AM,14.7300,81.442,,,,,
103,09/14/22 11:17:00 AM,14.7300,81.442,,,,,
104,09/14/22 11:17:10 AM,14.7286,81.442,,,,,
105,09/14/22 11:17:20 AM,14.7300,81.442,,,,,
106,09/14/22 11:17:30 AM,14.7286,81.442,,,,,
107,09/14/22 11:17:40 AM,14.7300,81.442,,,,,
108,09/14/22 11:17:50 AM,14.7286,81.442,,,,,
109,09/14/22 11:18:00 AM,14.7286,81.442,,,,,
110,09/14/22 11:18:10 AM,14.7286,81.442,,,,,
111,09/14/22 11:18:20 AM,14.7315,81.442,,,,,
112,09/14/22 11:18:30 AM,14.7329,81.442,,,,,
113,09/14/22 11:18:40 AM,14.7306,81.621,,,,,
114,09/14/22 11:18:50 AM,14.7277,81.621,,,,,
115,09/14/22 11:19:00 AM,14.7321,81.621,,,,,
116,09/14/22 11:19:10 AM,14.7306,81.621,,,,,
117,09/14/22 11:19:20 AM,14.7306,81.621,,,,,
118,09/14/22 11:19:30 AM,14.7306,81.621,,,,,
119,09/14/22 11:19:40 AM,14.7321,81.621,,,,,
120,09/14/22 11:19:50 AM,14.7321,81.621,,,,,
121,09/14/22 11:20:00 AM,14.7306,81.621,,,,,
122,09/14/22 11:20:10 AM,14.7292,81.621,,,,,
123,09/14/22 11:20:20 AM,14.7321,81.621,,,,,
124,09/14/22 11:20:30 AM,14.7306,81.621,,,,,
125,09/14/22 11:20:40 AM,14.7306,81.621,,,,,
126,09/14/22 11:20:50 AM,14.7306,81.621,,,,,
127,09/14/22 11:21:00 AM,14.7306,81.621,,,,,
128,09/14/22 11:21:10 AM,14.7277,81.621,,,,,
129,09/14/22 11:21:20 AM,14.7306,81.621,,,,,
130,09/14/22 11:21:30 AM,14.7263,81.621,,,,,
131,09/14/22 11:21:40 AM,14.7306,81.621,,,,,
132,09/14/22 11:21:50 AM,14.7292,81.621,,,,,
133,09/14/22 11:22:00 AM,14.7292,81.621,,,,,
134,09/14/22 11:22:10 AM,14.7292,81.621,,,,,
135,09/14/22 11:22:20 AM,14.7321,81.621,,,,,
136,09/14/22 11:22:30 AM,14.7306,81.621,,,,,
